texture,drainage,moisture,organic_matter,compaction,water_retention,color,texture_code,drainage_code,moisture_code,om_code,compaction_code,retention_code,color_code,ph
sandy,good,dry,low,moderate,low,brown,0,0,0,0,1,0,2,6.07
loamy,poor,moderate,low,loose,low,dark brown,2,2,1,0,0,0,3,6.33
sandy-loam,good,wet,moderate,loose,moderate,brown,1,0,2,1,0,1,2,6.46
sandy-loam,good,dry,high,loose,low,red,1,0,0,2,0,0,5,6.05
sandy-loam,good,moderate,low,moderate,high,red,1,0,1,0,1,2,5,6.21
clay,poor,wet,high,loose,low,yellow/tan,5,2,2,2,0,0,1,6.68
clay,poor,wet,low,loose,moderate,black/dark,5,2,2,0,0,1,4,6.71
clay,good,wet,moderate,moderate,low,black/dark,5,0,2,1,1,0,4,7.17
sandy,good,wet,low,moderate,low,pale/white,0,0,2,0,1,0,0,6.02
sandy-loam,good,wet,low,moderate,high,dark brown,1,0,2,0,1,2,3,5.82
silty,good,dry,high,loose,moderate,dark brown,3,0,0,2,0,1,3,6.17
sandy,moderate,dry,low,compacted,high,red,0,1,0,0,2,2,5,5.94
sandy-loam,poor,wet,moderate,compacted,high,dark brown,1,2,2,1,2,2,3,5.62
clay,good,dry,high,moderate,moderate,brown,5,0,0,2,1,1,2,6.64
loamy,good,wet,moderate,loose,moderate,red,2,0,2,1,0,1,5,6.33
sandy-loam,good,moderate,moderate,compacted,high,dark brown,1,0,1,1,2,2,3,6.4
clay,moderate,wet,moderate,compacted,high,dark brown,5,1,2,1,2,2,3,6.56
clay,poor,moderate,low,loose,low,brown,5,2,1,0,0,0,2,7.1
clay-loam,poor,wet,high,compacted,moderate,brown,4,2,2,2,2,1,2,6.02
sandy,moderate,moderate,high,moderate,moderate,pale/white,0,1,1,2,1,1,0,6.15
sandy-loam,good,dry,low,compacted,low,brown,1,0,0,0,2,0,2,6.08
loamy,poor,moderate,high,moderate,low,brown,2,2,1,2,1,0,2,5.99
sandy-loam,moderate,dry,low,loose,low,brown,1,1,0,0,0,0,2,6.41
clay-loam,moderate,wet,low,loose,low,pale/white,4,1,2,0,0,0,0,7.42
sandy-loam,moderate,wet,moderate,compacted,moderate,pale/white,1,1,2,1,2,1,0,6.29
loamy,good,wet,high,compacted,moderate,brown,2,0,2,2,2,1,2,6.62
silty,moderate,moderate,moderate,compacted,high,yellow/tan,3,1,1,1,2,2,1,6.22
clay,moderate,dry,high,loose,high,pale/white,5,1,0,2,0,2,0,6.89
sandy-loam,poor,dry,moderate,loose,low,red,1,2,0,1,0,0,5,5.96
sandy-loam,good,wet,high,loose,high,dark brown,1,0,2,2,0,2,3,5.81
clay,good,wet,low,compacted,low,black/dark,5,0,2,0,2,0,4,6.88
loamy,good,moderate,low,loose,high,pale/white,2,0,1,0,0,2,0,6.8
loamy,good,dry,high,loose,moderate,pale/white,2,0,0,2,0,1,0,7.2
clay,moderate,moderate,moderate,moderate,low,red,5,1,1,1,1,0,5,5.74
clay,moderate,moderate,high,loose,high,red,5,1,1,2,0,2,5,7.06
sandy,poor,moderate,moderate,loose,high,dark brown,0,2,1,1,0,2,3,5.35
clay-loam,good,moderate,high,loose,moderate,red,4,0,1,2,0,1,5,6.41
loamy,good,wet,moderate,moderate,moderate,pale/white,2,0,2,1,1,1,0,6.81
clay,moderate,moderate,low,moderate,moderate,red,5,1,1,0,1,1,5,7.1
clay,poor,moderate,low,compacted,moderate,yellow/tan,5,2,1,0,2,1,1,6.8
clay,poor,moderate,low,loose,moderate,red,5,2,1,0,0,1,5,6.81
sandy,poor,moderate,moderate,compacted,high,yellow/tan,0,2,1,1,2,2,1,5.52
loamy,poor,moderate,moderate,moderate,low,pale/white,2,2,1,1,1,0,0,6.68
clay-loam,moderate,dry,low,compacted,low,black/dark,4,1,0,0,2,0,4,6.37
sandy-loam,poor,wet,low,loose,high,yellow/tan,1,2,2,0,0,2,1,6.09
clay-loam,good,wet,moderate,moderate,high,black/dark,4,0,2,1,1,2,4,6.85
clay,poor,wet,moderate,moderate,moderate,black/dark,5,2,2,1,1,1,4,6.85
loamy,moderate,dry,high,compacted,high,yellow/tan,2,1,0,2,2,2,1,6.47
sandy-loam,moderate,moderate,high,moderate,high,yellow/tan,1,1,1,2,1,2,1,6.05
sandy-loam,poor,wet,high,loose,high,red,1,2,2,2,0,2,5,5.44
clay-loam,moderate,dry,low,loose,moderate,dark brown,4,1,0,0,0,1,3,6.54
sandy-loam,poor,moderate,low,moderate,low,pale/white,1,2,1,0,1,0,0,6.22
loamy,moderate,dry,low,moderate,moderate,red,2,1,0,0,1,1,5,6.72
loamy,moderate,wet,high,loose,high,dark brown,2,1,2,2,0,2,3,6.14
sandy,good,moderate,moderate,loose,high,black/dark,0,0,1,1,0,2,4,5.72
sandy-loam,moderate,dry,high,compacted,moderate,pale/white,1,1,0,2,2,1,0,6.65
clay,poor,wet,low,compacted,low,yellow/tan,5,2,2,0,2,0,1,6.97
clay-loam,moderate,dry,high,compacted,high,red,4,1,0,2,2,2,5,6.69
clay-loam,poor,wet,low,moderate,low,red,4,2,2,0,1,0,5,6.67
sandy-loam,good,moderate,low,loose,low,pale/white,1,0,1,0,0,0,0,7.2
loamy,moderate,dry,low,loose,low,red,2,1,0,0,0,0,5,6.23
sandy,good,moderate,moderate,moderate,high,dark brown,0,0,1,1,1,2,3,5.98
sandy-loam,poor,moderate,low,moderate,moderate,yellow/tan,1,2,1,0,1,1,1,6.36
clay-loam,good,moderate,low,loose,low,pale/white,4,0,1,0,0,0,0,7.08
clay-loam,good,moderate,high,moderate,low,red,4,0,1,2,1,0,5,6.17
loamy,moderate,wet,low,loose,high,pale/white,2,1,2,0,0,2,0,6.85
silty,moderate,dry,high,moderate,moderate,brown,3,1,0,2,1,1,2,6.2
sandy-loam,poor,dry,high,moderate,moderate,pale/white,1,2,0,2,1,1,0,6.32
loamy,moderate,wet,high,loose,moderate,pale/white,2,1,2,2,0,1,0,6.88
clay,poor,dry,moderate,compacted,moderate,red,5,2,0,1,2,1,5,7.21
clay,moderate,dry,low,compacted,low,yellow/tan,5,1,0,0,2,0,1,6.69
sandy,moderate,moderate,low,loose,low,dark brown,0,1,1,0,0,0,3,5.69
clay,moderate,moderate,moderate,loose,high,dark brown,5,1,1,1,0,2,3,6.82
sandy,poor,wet,low,compacted,low,pale/white,0,2,2,0,2,0,0,6.4
sandy,poor,moderate,low,compacted,moderate,pale/white,0,2,1,0,2,1,0,6.47
clay,poor,wet,low,compacted,high,yellow/tan,5,2,2,0,2,2,1,6.97
loamy,poor,moderate,moderate,loose,moderate,yellow/tan,2,2,1,1,0,1,1,6.73
clay-loam,poor,dry,moderate,moderate,moderate,black/dark,4,2,0,1,1,1,4,6.17
loamy,poor,wet,high,moderate,high,yellow/tan,2,2,2,2,1,2,1,6.06
loamy,moderate,moderate,low,compacted,moderate,pale/white,2,1,1,0,2,1,0,7.02
loamy,poor,moderate,high,loose,high,dark brown,2,2,1,2,0,2,3,5.96
sandy-loam,moderate,dry,high,compacted,low,dark brown,1,1,0,2,2,0,3,5.63
clay,poor,dry,moderate,loose,high,black/dark,5,2,0,1,0,2,4,6.93
sandy,poor,dry,moderate,loose,moderate,brown,0,2,0,1,0,1,2,5.33
sandy,poor,wet,high,moderate,high,dark brown,0,2,2,2,1,2,3,5.46
sandy-loam,poor,dry,high,compacted,high,red,1,2,0,2,2,2,5,4.8
sandy-loam,moderate,wet,moderate,moderate,low,dark brown,1,1,2,1,1,0,3,6.17
clay,moderate,dry,moderate,loose,low,red,5,1,0,1,0,0,5,6.75
clay-loam,poor,dry,high,compacted,low,pale/white,4,2,0,2,2,0,0,6.47
silty,poor,dry,moderate,compacted,moderate,pale/white,3,2,0,1,2,1,0,6.32
sandy,moderate,dry,moderate,loose,moderate,brown,0,1,0,1,0,1,2,5.73
silty,poor,dry,moderate,loose,high,brown,3,2,0,1,0,2,2,6.64
clay,poor,wet,high,moderate,moderate,brown,5,2,2,2,1,1,2,6.33
loamy,poor,moderate,low,loose,high,dark brown,2,2,1,0,0,2,3,5.57
sandy-loam,poor,dry,low,loose,low,red,1,2,0,0,0,0,5,5.68
clay-loam,moderate,wet,moderate,compacted,low,yellow/tan,4,1,2,1,2,0,1,6.56
clay,moderate,dry,low,compacted,low,pale/white,5,1,0,0,2,0,0,7.21
sandy,poor,moderate,high,moderate,high,dark brown,0,2,1,2,1,2,3,5.34
sandy,good,wet,moderate,compacted,high,brown,0,0,2,1,2,2,2,5.6
sandy-loam,moderate,dry,low,compacted,low,dark brown,1,1,0,0,2,0,3,6.42
clay-loam,good,dry,low,loose,high,yellow/tan,4,0,0,0,0,2,1,6.89
silty,poor,wet,high,loose,low,dark brown,3,2,2,2,0,0,3,6.19
sandy,good,moderate,moderate,moderate,high,yellow/tan,0,0,1,1,1,2,1,6.72
silty,poor,moderate,high,loose,moderate,pale/white,3,2,1,2,0,1,0,6.74
sandy,good,wet,low,moderate,moderate,yellow/tan,0,0,2,0,1,1,1,6.3
clay-loam,good,wet,high,compacted,low,black/dark,4,0,2,2,2,0,4,6.34
clay,poor,moderate,low,compacted,low,brown,5,2,1,0,2,0,2,6.93
clay-loam,moderate,dry,low,compacted,moderate,dark brown,4,1,0,0,2,1,3,6.65
sandy,good,moderate,high,loose,high,black/dark,0,0,1,2,0,2,4,5.68
sandy-loam,poor,wet,moderate,loose,moderate,brown,1,2,2,1,0,1,2,5.54
silty,moderate,moderate,moderate,compacted,moderate,dark brown,3,1,1,1,2,1,3,6.05
silty,good,moderate,high,moderate,low,brown,3,0,1,2,1,0,2,6.43
sandy-loam,poor,dry,moderate,loose,low,red,1,2,0,1,0,0,5,6.01
sandy-loam,moderate,dry,high,compacted,high,yellow/tan,1,1,0,2,2,2,1,6.28
clay-loam,poor,moderate,high,loose,moderate,yellow/tan,4,2,1,2,0,1,1,6.23
clay-loam,poor,dry,low,moderate,moderate,yellow/tan,4,2,0,0,1,1,1,6.24
clay-loam,moderate,wet,low,loose,moderate,brown,4,1,2,0,0,1,2,6.79
clay-loam,good,wet,high,loose,low,yellow/tan,4,0,2,2,0,0,1,5.99
sandy-loam,poor,dry,moderate,compacted,low,red,1,2,0,1,2,0,5,5.17
silty,poor,moderate,moderate,moderate,high,black/dark,3,2,1,1,1,2,4,6.39
clay,poor,dry,moderate,moderate,moderate,brown,5,2,0,1,1,1,2,6.86
clay-loam,moderate,moderate,high,compacted,low,black/dark,4,1,1,2,2,0,4,5.98
sandy-loam,poor,wet,low,compacted,low,yellow/tan,1,2,2,0,2,0,1,5.88
loamy,moderate,wet,moderate,moderate,low,yellow/tan,2,1,2,1,1,0,1,6.29
sandy-loam,moderate,wet,high,moderate,low,red,1,1,2,2,1,0,5,5.98
clay,good,wet,high,compacted,low,yellow/tan,5,0,2,2,2,0,1,6.68
clay-loam,moderate,dry,low,moderate,high,brown,4,1,0,0,1,2,2,6.7
silty,poor,moderate,moderate,compacted,high,red,3,2,1,1,2,2,5,5.67
sandy-loam,poor,dry,low,loose,high,dark brown,1,2,0,0,0,2,3,5.31
sandy,moderate,dry,low,loose,low,dark brown,0,1,0,0,0,0,3,5.82
loamy,poor,wet,low,compacted,low,brown,2,2,2,0,2,0,2,6.16
sandy,poor,wet,low,moderate,moderate,pale/white,0,2,2,0,1,1,0,6.05
sandy-loam,moderate,wet,moderate,loose,moderate,yellow/tan,1,1,2,1,0,1,1,6.18
sandy,poor,moderate,moderate,compacted,low,brown,0,2,1,1,2,0,2,5.59
clay,good,dry,high,moderate,moderate,black/dark,5,0,0,2,1,1,4,5.94
sandy,good,moderate,low,compacted,high,dark brown,0,0,1,0,2,2,3,6.23
sandy-loam,good,wet,low,compacted,high,brown,1,0,2,0,2,2,2,6.49
sandy,poor,moderate,low,moderate,low,red,0,2,1,0,1,0,5,5.53
sandy-loam,poor,wet,high,compacted,high,yellow/tan,1,2,2,2,2,2,1,5.17
loamy,poor,moderate,high,loose,high,black/dark,2,2,1,2,0,2,4,6.19
clay,good,wet,low,loose,moderate,brown,5,0,2,0,0,1,2,7.09
silty,poor,moderate,high,compacted,low,yellow/tan,3,2,1,2,2,0,1,6.27
clay-loam,poor,wet,high,loose,moderate,yellow/tan,4,2,2,2,0,1,1,5.94
loamy,moderate,wet,high,compacted,low,red,2,1,2,2,2,0,5,5.94
loamy,moderate,wet,low,compacted,high,red,2,1,2,0,2,2,5,6.76
clay-loam,good,moderate,low,moderate,high,brown,4,0,1,0,1,2,2,7.04
clay-loam,good,moderate,low,moderate,low,dark brown,4,0,1,0,1,0,3,6.13
clay,moderate,dry,low,loose,high,yellow/tan,5,1,0,0,0,2,1,7.05
clay,poor,dry,low,loose,low,pale/white,5,2,0,0,0,0,0,7.66
sandy,good,moderate,high,compacted,moderate,pale/white,0,0,1,2,2,1,0,6.19
clay-loam,poor,wet,moderate,moderate,high,brown,4,2,2,1,1,2,2,6.23
clay-loam,good,moderate,low,compacted,low,black/dark,4,0,1,0,2,0,4,6.53
clay,poor,wet,low,loose,high,yellow/tan,5,2,2,0,0,2,1,6.69
sandy-loam,good,moderate,moderate,loose,moderate,brown,1,0,1,1,0,1,2,6.34
silty,good,wet,moderate,compacted,moderate,black/dark,3,0,2,1,2,1,4,6.08
clay,good,dry,moderate,compacted,high,black/dark,5,0,0,1,2,2,4,7.0
sandy-loam,poor,moderate,moderate,moderate,low,dark brown,1,2,1,1,1,0,3,5.7
silty,moderate,wet,high,loose,low,brown,3,1,2,2,0,0,2,6.44
silty,moderate,moderate,high,compacted,moderate,brown,3,1,1,2,2,1,2,6.72
sandy,good,moderate,low,moderate,moderate,brown,0,0,1,0,1,1,2,6.07
clay-loam,poor,dry,low,compacted,high,yellow/tan,4,2,0,0,2,2,1,6.4
sandy-loam,moderate,dry,high,loose,low,yellow/tan,1,1,0,2,0,0,1,6.01
clay,moderate,wet,moderate,compacted,high,yellow/tan,5,1,2,1,2,2,1,6.96
clay-loam,good,moderate,moderate,compacted,high,pale/white,4,0,1,1,2,2,0,6.67
clay,moderate,wet,low,loose,moderate,dark brown,5,1,2,0,0,1,3,7.34
loamy,poor,wet,high,moderate,high,red,2,2,2,2,1,2,5,5.81
sandy-loam,moderate,moderate,high,compacted,high,brown,1,1,1,2,2,2,2,6.04
loamy,good,moderate,high,compacted,moderate,pale/white,2,0,1,2,2,1,0,6.81
sandy-loam,good,dry,low,moderate,high,yellow/tan,1,0,0,0,1,2,1,6.05
clay-loam,good,dry,high,loose,low,dark brown,4,0,0,2,0,0,3,6.75
silty,moderate,wet,low,loose,moderate,yellow/tan,3,1,2,0,0,1,1,6.76
clay,good,wet,moderate,loose,high,yellow/tan,5,0,2,1,0,2,1,7.3
silty,poor,moderate,high,moderate,high,yellow/tan,3,2,1,2,1,2,1,6.2
loamy,good,dry,moderate,moderate,moderate,yellow/tan,2,0,0,1,1,1,1,6.27
silty,good,wet,low,loose,high,brown,3,0,2,0,0,2,2,6.62
silty,moderate,dry,moderate,loose,low,pale/white,3,1,0,1,0,0,0,7.35
clay-loam,moderate,wet,moderate,loose,low,red,4,1,2,1,0,0,5,6.35
clay-loam,poor,dry,high,loose,high,yellow/tan,4,2,0,2,0,2,1,6.6
silty,poor,moderate,moderate,moderate,moderate,dark brown,3,2,1,1,1,1,3,5.97
clay-loam,poor,dry,high,moderate,moderate,black/dark,4,2,0,2,1,1,4,6.22
silty,poor,dry,moderate,loose,high,brown,3,2,0,1,0,2,2,6.54
sandy,good,wet,high,moderate,moderate,yellow/tan,0,0,2,2,1,1,1,5.71
clay,good,wet,moderate,compacted,moderate,pale/white,5,0,2,1,2,1,0,7.15
loamy,moderate,wet,high,loose,low,dark brown,2,1,2,2,0,0,3,6.15
loamy,poor,wet,low,moderate,low,pale/white,2,2,2,0,1,0,0,6.27
sandy,good,moderate,low,moderate,low,yellow/tan,0,0,1,0,1,0,1,6.11
loamy,moderate,dry,high,moderate,low,brown,2,1,0,2,1,0,2,5.8
loamy,good,moderate,low,moderate,moderate,yellow/tan,2,0,1,0,1,1,1,6.67
loamy,good,moderate,low,loose,moderate,dark brown,2,0,1,0,0,1,3,6.64
clay,poor,dry,low,compacted,moderate,yellow/tan,5,2,0,0,2,1,1,6.95
clay-loam,good,wet,high,compacted,high,pale/white,4,0,2,2,2,2,0,7.05
sandy-loam,good,dry,moderate,loose,high,dark brown,1,0,0,1,0,2,3,6.21
sandy-loam,good,dry,low,loose,high,red,1,0,0,0,0,2,5,6.37
sandy,poor,wet,moderate,compacted,high,red,0,2,2,1,2,2,5,5.46
sandy-loam,moderate,wet,high,moderate,low,dark brown,1,1,2,2,1,0,3,5.63
loamy,moderate,moderate,low,compacted,high,brown,2,1,1,0,2,2,2,6.71
sandy-loam,moderate,moderate,moderate,moderate,low,black/dark,1,1,1,1,1,0,4,5.69
sandy,poor,dry,moderate,loose,low,pale/white,0,2,0,1,0,0,0,5.7
clay,moderate,dry,high,loose,high,black/dark,5,1,0,2,0,2,4,6.53
sandy-loam,moderate,dry,high,moderate,high,black/dark,1,1,0,2,1,2,4,6.0
clay,poor,moderate,high,loose,moderate,dark brown,5,2,1,2,0,1,3,6.39
clay,good,wet,low,moderate,low,black/dark,5,0,2,0,1,0,4,6.34
sandy,moderate,dry,low,loose,moderate,pale/white,0,1,0,0,0,1,0,6.72
loamy,poor,dry,moderate,compacted,moderate,red,2,2,0,1,2,1,5,6.0
sandy-loam,moderate,wet,low,moderate,low,black/dark,1,1,2,0,1,0,4,5.62
clay,poor,moderate,high,loose,low,yellow/tan,5,2,1,2,0,0,1,6.51
silty,poor,moderate,moderate,compacted,moderate,pale/white,3,2,1,1,2,1,0,6.87
silty,moderate,moderate,low,compacted,moderate,red,3,1,1,0,2,1,5,6.65
loamy,poor,moderate,high,loose,high,dark brown,2,2,1,2,0,2,3,6.0
clay-loam,moderate,moderate,moderate,moderate,moderate,brown,4,1,1,1,1,1,2,6.72
clay-loam,poor,wet,low,compacted,moderate,red,4,2,2,0,2,1,5,6.17
sandy-loam,moderate,dry,low,loose,high,red,1,1,0,0,0,2,5,5.82
sandy,moderate,moderate,low,compacted,low,pale/white,0,1,1,0,2,0,0,6.56
loamy,good,moderate,high,loose,high,yellow/tan,2,0,1,2,0,2,1,6.52
sandy-loam,moderate,moderate,moderate,loose,high,pale/white,1,1,1,1,0,2,0,6.84
sandy-loam,poor,dry,moderate,compacted,high,red,1,2,0,1,2,2,5,5.5
sandy,moderate,dry,low,moderate,high,brown,0,1,0,0,1,2,2,5.78
silty,poor,wet,low,moderate,high,dark brown,3,2,2,0,1,2,3,5.9
